model,variable,precision,recall,f1,support
dummy,0.0,0.125,1.0,0.2222222222222222,278.0
dummy,1.0,0.0,0.0,0.0,278.0
dummy,2.0,0.0,0.0,0.0,278.0
dummy,3.0,0.0,0.0,0.0,278.0
dummy,4.0,0.0,0.0,0.0,278.0
dummy,5.0,0.0,0.0,0.0,278.0
dummy,6.0,0.0,0.0,0.0,278.0
dummy,7.0,0.0,0.0,0.0,278.0
dummy,macro avg,0.015625,0.125,0.027777777777777776,2224.0
dummy,weighted avg,0.015625,0.125,0.027777777777777776,2224.0
logistic,0.0,0.6739130434782609,0.8920863309352518,0.7678018575851393,278.0
logistic,1.0,0.7177914110429447,0.841726618705036,0.7748344370860927,278.0
logistic,2.0,0.5714285714285714,0.37410071942446044,0.45217391304347826,278.0
logistic,3.0,0.3614457831325301,0.1079136690647482,0.16620498614958448,278.0
logistic,4.0,0.7596439169139466,0.920863309352518,0.832520325203252,278.0
logistic,5.0,0.752851711026616,0.7122302158273381,0.7319778188539742,278.0
logistic,6.0,0.6012269938650306,0.35251798561151076,0.4444444444444444,278.0
logistic,7.0,0.48406374501992033,0.8741007194244604,0.6230769230769231,278.0
logistic,macro avg,0.6152956469884776,0.6344424460431655,0.5991293381803611,2224.0
logistic,weighted avg,0.6152956469884776,0.6344424460431655,0.599129338180361,2224.0
xgboost,0.0,0.7948717948717948,0.8920863309352518,0.8406779661016949,278.0
xgboost,1.0,0.9928571428571429,1.0,0.996415770609319,278.0
xgboost,2.0,0.8618421052631579,0.9424460431654677,0.9003436426116839,278.0
xgboost,3.0,0.5590062111801242,0.3237410071942446,0.41002277904328016,278.0
xgboost,4.0,0.9198606271777003,0.9496402877697842,0.9345132743362832,278.0
xgboost,5.0,0.974910394265233,0.9784172661870504,0.9766606822262118,278.0
xgboost,6.0,0.7712418300653595,0.8489208633093526,0.8082191780821918,278.0
xgboost,7.0,0.7932203389830509,0.841726618705036,0.8167539267015707,278.0
xgboost,macro avg,0.8334763055829455,0.8471223021582734,0.8354509024640294,2224.0
xgboost,weighted avg,0.8334763055829454,0.8471223021582733,0.8354509024640294,2224.0
